regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,MA,,2021-01-17,7075181.0,203423.0,89,4606,5
Nordeste,AL,,2021-01-17,3337357.0,111443.0,475,2620,9
Nordeste,PE,,2021-01-17,9557071.0,241087.0,482,10020,27
Nordeste,PI,,2021-01-17,3273227.0,151397.0,351,2950,5
Nordeste,CE,,2021-01-17,9132078.0,353388.0,1048,10223,0
Nordeste,PB,,2021-01-17,4018127.0,177618.0,783,3888,8
Nordeste,SE,,2021-01-17,2298696.0,128395.0,680,2652,12
Nordeste,RN,,2021-01-17,3506853.0,130350.0,801,3177,4
Nordeste,PI,,2021-01-18,3273227.0,151619.0,222,2961,11
Nordeste,CE,,2021-01-18,9132078.0,353979.0,591,10223,0
Nordeste,SE,,2021-01-18,2298696.0,128854.0,459,2662,10
Nordeste,AL,,2021-01-18,3337357.0,111724.0,281,2629,9
Nordeste,PB,,2021-01-18,4018127.0,177843.0,225,3902,14
Nordeste,MA,,2021-01-18,7075181.0,203581.0,158,4613,7
Nordeste,BA,,2021-01-18,14873064.0,540320.0,2548,9667,29
Nordeste,RN,,2021-01-18,3506853.0,130578.0,228,3179,2
Nordeste,PE,,2021-01-18,9557071.0,241409.0,322,10031,11
Nordeste,BA,,2021-01-19,14873064.0,544324.0,4004,9697,30
Nordeste,RN,,2021-01-19,3506853.0,130973.0,395,3188,9
Nordeste,AL,,2021-01-19,3337357.0,112097.0,373,2638,9
Nordeste,CE,,2021-01-19,9132078.0,356117.0,2138,10240,17
Nordeste,PI,,2021-01-19,3273227.0,152211.0,592,2968,7
Nordeste,MA,,2021-01-19,7075181.0,203964.0,383,4618,5
Nordeste,PB,,2021-01-19,4018127.0,178081.0,238,3912,10
Nordeste,PE,,2021-01-19,9557071.0,243044.0,1635,10059,28
Nordeste,SE,,2021-01-19,2298696.0,129505.0,651,2674,12
Nordeste,RN,,2021-01-20,3506853.0,132294.0,1321,3192,4
Nordeste,SE,,2021-01-20,2298696.0,130286.0,781,2685,11
Nordeste,MA,,2021-01-20,7075181.0,204300.0,336,4624,6
Nordeste,BA,,2021-01-20,14873064.0,549315.0,4991,9728,31
Nordeste,AL,,2021-01-20,3337357.0,112476.0,379,2647,9
Nordeste,CE,,2021-01-20,9132078.0,356985.0,868,10243,3
Nordeste,PI,,2021-01-20,3273227.0,152997.0,786,2976,8
Nordeste,PB,,2021-01-20,4018127.0,179353.0,1272,3926,14
Nordeste,PE,,2021-01-20,9557071.0,244814.0,1770,10098,39
Nordeste,SE,,2021-01-21,2298696.0,131023.0,737,2697,12
Nordeste,PE,,2021-01-21,9557071.0,246799.0,1985,10133,35
Nordeste,AL,,2021-01-21,3337357.0,112854.0,378,2656,9
Nordeste,RN,,2021-01-21,3506853.0,133174.0,880,3203,11
Nordeste,MA,,2021-01-21,7075181.0,204767.0,467,4631,7
Nordeste,CE,,2021-01-21,9132078.0,358404.0,1419,10261,18
Nordeste,PB,,2021-01-21,4018127.0,180464.0,1111,3939,13
Nordeste,PI,,2021-01-21,3273227.0,153771.0,774,2985,9
Nordeste,BA,,2021-01-21,14873064.0,553770.0,4455,9760,32
Nordeste,RN,,2021-01-22,3506853.0,134010.0,836,3223,20
Nordeste,BA,,2021-01-22,14873064.0,557900.0,4130,9794,34
Nordeste,SE,,2021-01-22,2298696.0,131835.0,812,2710,13
Nordeste,PI,,2021-01-22,3273227.0,154397.0,626,2989,4
